City_id,City,Latitude,Longitude,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Description
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-22,27,5,3,195,10.0,10d,🌦️,Pluie intermittente
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-06-23,28,6,4,173,10.0,03d,⛅,Nuages épars
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-16,29,5,3,276,9.01,01d,☀️,Ciel dégagé (jour)
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-17,26,5,3,118,8.26,04d,☁️,Couvert
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-18,26,4,3,154,9.21,01d,☀️,Ciel dégagé (jour)
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-19,27,5,3,222,9.14,03d,⛅,Nuages épars
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-20,27,3,2,206,9.11,01d,☀️,Ciel dégagé (jour)
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-21,27,3,2,191,10.0,01d,☀️,Ciel dégagé (jour)
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-22,26,5,3,160,10.0,01d,☀️,Ciel dégagé (jour)
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-06-23,27,4,3,185,10.0,02d,🌤️,Peu nuageux (jour)
FR000020,Cassis,43.2140359,5.5396318,2025-06-16,28,12,6,310,9.01,03d,⛅,Nuages épars
FR000020,Cassis,43.2140359,5.5396318,2025-06-17,24,4,3,330,8.74,04d,☁️,Couvert
FR000020,Cassis,43.2140359,5.5396318,2025-06-18,25,3,2,155,9.2,02d,🌤️,Peu nuageux (jour)
FR000020,Cassis,43.2140359,5.5396318,2025-06-19,26,3,2,210,9.15,04d,☁️,Couvert
FR000020,Cassis,43.2140359,5.5396318,2025-06-20,26,3,2,219,9.1,02d,🌤️,Peu nuageux (jour)
FR000020,Cassis,43.2140359,5.5396318,2025-06-21,26,3,2,179,10.0,01d,☀️,Ciel dégagé (jour)
FR000020,Cassis,43.2140359,5.5396318,2025-06-22,25,6,4,153,10.0,01d,☀️,Ciel dégagé (jour)
FR000020,Cassis,43.2140359,5.5396318,2025-06-23,25,4,3,168,10.0,02d,🌤️,Peu nuageux (jour)
FR000021,Marseille,43.2961743,5.3699525,2025-06-16,29,13,6,314,8.91,03d,⛅,Nuages épars
FR000021,Marseille,43.2961743,5.3699525,2025-06-17,25,5,3,330,8.61,04d,☁️,Couvert
FR000021,Marseille,43.2961743,5.3699525,2025-06-18,26,4,3,153,9.07,03d,⛅,Nuages épars
FR000021,Marseille,43.2961743,5.3699525,2025-06-19,27,4,3,191,8.97,03d,⛅,Nuages épars
FR000021,Marseille,43.2961743,5.3699525,2025-06-20,27,4,3,179,8.98,03d,⛅,Nuages épars
FR000021,Marseille,43.2961743,5.3699525,2025-06-21,26,4,3,172,9.0,01d,☀️,Ciel dégagé (jour)
FR000021,Marseille,43.2961743,5.3699525,2025-06-22,26,6,4,154,9.0,01d,☀️,Ciel dégagé (jour)
FR000021,Marseille,43.2961743,5.3699525,2025-06-23,26,4,3,169,9.0,01d,☀️,Ciel dégagé (jour)
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-16,29,8,5,306,8.75,03d,⛅,Nuages épars
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-17,29,6,4,234,8.67,04d,☁️,Couvert
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-18,32,5,3,220,9.12,04d,☁️,Couvert
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-19,33,5,3,228,8.92,03d,⛅,Nuages épars
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-20,34,5,3,223,8.91,03d,⛅,Nuages épars
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-21,33,5,3,219,9.0,01d,☀️,Ciel dégagé (jour)
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-22,31,6,4,208,9.0,01d,☀️,Ciel dégagé (jour)
FR000022,Aix en Provence,43.5298424,5.4474738,2025-06-23,31,5,3,216,9.0,02d,🌤️,Peu nuageux (jour)
FR000023,Avignon,43.9492493,4.8059012,2025-06-16,28,14,7,352,8.85,01d,☀️,Ciel dégagé (jour)
FR000023,Avignon,43.9492493,4.8059012,2025-06-17,32,11,6,355,8.84,04d,☁️,Couvert
FR000023,Avignon,43.9492493,4.8059012,2025-06-18,35,6,4,358,9.09,03d,⛅,Nuages épars
FR000023,Avignon,43.9492493,4.8059012,2025-06-19,36,4,3,209,8.92,03d,⛅,Nuages épars
FR000023,Avignon,43.9492493,4.8059012,2025-06-20,37,5,3,202,8.94,02d,🌤️,Peu nuageux (jour)
FR000023,Avignon,43.9492493,4.8059012,2025-06-21,36,7,4,197,9.0,02d,🌤️,Peu nuageux (jour)
FR000023,Avignon,43.9492493,4.8059012,2025-06-22,34,7,4,195,9.0,02d,🌤️,Peu nuageux (jour)
FR000023,Avignon,43.9492493,4.8059012,2025-06-23,35,6,4,205,9.0,02d,🌤️,Peu nuageux (jour)
FR000024,Uzes,44.0121279,4.4196718,2025-06-16,27,10,5,2,9.17,02d,🌤️,Peu nuageux (jour)
FR000024,Uzes,44.0121279,4.4196718,2025-06-17,32,7,4,13,9.36,04d,☁️,Couvert
FR000024,Uzes,44.0121279,4.4196718,2025-06-18,34,6,4,15,9.42,02d,🌤️,Peu nuageux (jour)
FR000024,Uzes,44.0121279,4.4196718,2025-06-19,36,5,3,11,9.29,04d,☁️,Couvert
FR000024,Uzes,44.0121279,4.4196718,2025-06-20,37,6,4,209,9.34,02d,🌤️,Peu nuageux (jour)
FR000024,Uzes,44.0121279,4.4196718,2025-06-21,35,7,4,184,10.0,01d,☀️,Ciel dégagé (jour)
FR000024,Uzes,44.0121279,4.4196718,2025-06-22,33,7,4,182,10.0,01d,☀️,Ciel dégagé (jour)
FR000024,Uzes,44.0121279,4.4196718,2025-06-23,34,6,4,197,10.0,02d,🌤️,Peu nuageux (jour)
FR000025,Nimes,43.8374249,4.3600687,2025-06-16,28,9,5,356,8.93,02d,🌤️,Peu nuageux (jour)
FR000025,Nimes,43.8374249,4.3600687,2025-06-17,34,7,4,7,8.99,04d,☁️,Couvert
FR000025,Nimes,43.8374249,4.3600687,2025-06-18,36,5,3,7,9.06,03d,⛅,Nuages épars
FR000025,Nimes,43.8374249,4.3600687,2025-06-19,37,5,3,219,8.94,04d,☁️,Couvert
FR000025,Nimes,43.8374249,4.3600687,2025-06-20,37,7,4,219,9.02,03d,⛅,Nuages épars
FR000025,Nimes,43.8374249,4.3600687,2025-06-21,35,6,4,176,10.0,01d,☀️,Ciel dégagé (jour)
FR000025,Nimes,43.8374249,4.3600687,2025-06-22,33,7,4,183,10.0,02d,🌤️,Peu nuageux (jour)
FR000025,Nimes,43.8374249,4.3600687,2025-06-23,34,6,4,198,10.0,02d,🌤️,Peu nuageux (jour)
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-16,30,8,5,355,8.93,02d,🌤️,Peu nuageux (jour)
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-17,28,6,4,166,8.99,04d,☁️,Couvert
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-18,27,6,4,232,9.06,04d,☁️,Couvert
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-19,29,6,4,220,8.94,04d,☁️,Couvert
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-20,28,5,3,222,9.02,03d,⛅,Nuages épars
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-21,26,6,4,151,10.0,01d,☀️,Ciel dégagé (jour)
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-22,26,6,4,168,10.0,01d,☀️,Ciel dégagé (jour)
FR000026,Aigues Mortes,43.5661521,4.19154,2025-06-23,26,5,3,187,10.0,03d,⛅,Nuages épars
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-16,27,12,6,352,8.88,01d,☀️,Ciel dégagé (jour)
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-17,26,9,5,7,8.88,04d,☁️,Couvert
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-18,27,7,4,211,9.07,04d,☁️,Couvert
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-19,27,6,4,194,8.92,04d,☁️,Couvert
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-20,27,5,3,209,8.94,02d,🌤️,Peu nuageux (jour)
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-21,24,6,4,160,9.0,01d,☀️,Ciel dégagé (jour)
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-22,24,6,4,167,9.0,01d,☀️,Ciel dégagé (jour)
FR000027,Saintes Maries de la mer,43.4515922,4.4277202,2025-06-23,24,5,3,173,9.0,03d,⛅,Nuages épars
FR000028,Collioure,42.52505,3.0831554,2025-06-16,31,7,4,339,9.04,10d,🌦️,Pluie intermittente
FR000028,Collioure,42.52505,3.0831554,2025-06-17,29,4,3,294,9.26,02d,🌤️,Peu nuageux (jour)
FR000028,Collioure,42.52505,3.0831554,2025-06-18,30,4,3,143,9.26,01d,☀️,Ciel dégagé (jour)
FR000028,Collioure,42.52505,3.0831554,2025-06-19,30,4,3,93,9.09,03d,⛅,Nuages épars
FR000028,Collioure,42.52505,3.0831554,2025-06-20,32,4,3,140,8.46,03d,⛅,Nuages épars
FR000028,Collioure,42.52505,3.0831554,2025-06-21,31,3,2,93,9.0,10d,🌦️,Pluie intermittente
FR000028,Collioure,42.52505,3.0831554,2025-06-22,30,5,3,142,9.0,10d,🌦️,Pluie intermittente
FR000028,Collioure,42.52505,3.0831554,2025-06-23,32,4,3,117,9.0,01d,☀️,Ciel dégagé (jour)
FR000029,Carcassonne,43.2130358,2.3491069,2025-06-16,29,8,5,300,9.16,03d,⛅,Nuages épars
FR000029,Carcassonne,43.2130358,2.3491069,2025-06-17,33,6,4,308,9.48,02d,🌤️,Peu nuageux (jour)
FR000029,Carcassonne,43.2130358,2.3491069,2025-06-18,35,5,3,306,9.26,01d,☀️,Ciel dégagé (jour)
FR000029,Carcassonne,43.2130358,2.3491069,2025-06-19,37,4,3,78,9.26,04d,☁️,Couvert
