City_id,City,City_lat,City_long,Date,Température max (°C),Vent max (m/s),Force vent,Angle vent (°),Indice UV,Icon,Emoji,Weather_description
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-09,22,5,3,186,9.3,02d,🌤️,Peu nuageux
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-10,25,5,3,173,8.79,01d,☀️,Ciel dégagé
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-11,26,4,3,186,9.23,01d,☀️,Ciel dégagé
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-12,27,6,4,170,8.34,01d,☀️,Ciel dégagé
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-13,26,4,3,186,9.0,01d,☀️,Ciel dégagé
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-14,31,5,3,286,9.0,04d,☁️,Couvert
FR000018,Gorges du Verdon,43.7496562,6.3285616,2025-07-15,31,6,4,175,9.0,01d,☀️,Ciel dégagé
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-08,28,15,7,303,8.69,03d,⛅,Nuages épars
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-09,23,9,5,327,9.04,03d,⛅,Nuages épars
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-10,26,6,4,92,8.81,01d,☀️,Ciel dégagé
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-11,25,4,3,184,9.17,01d,☀️,Ciel dégagé
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-12,26,4,3,178,8.33,10d,🌦️,Pluie intermittente
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-13,26,4,3,144,9.0,01d,☀️,Ciel dégagé
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-14,31,8,5,266,9.0,03d,⛅,Nuages épars
FR000019,Bormes les Mimosas,43.1506968,6.3419285,2025-07-15,28,5,3,306,9.0,01d,☀️,Ciel dégagé
FR000020,Cassis,43.2140359,5.5396318,2025-07-08,27,16,7,320,8.7,01d,☀️,Ciel dégagé
FR000020,Cassis,43.2140359,5.5396318,2025-07-09,24,13,6,326,9.21,01d,☀️,Ciel dégagé
FR000020,Cassis,43.2140359,5.5396318,2025-07-10,24,5,3,287,8.88,01d,☀️,Ciel dégagé
FR000020,Cassis,43.2140359,5.5396318,2025-07-11,25,5,3,173,9.12,01d,☀️,Ciel dégagé
FR000020,Cassis,43.2140359,5.5396318,2025-07-12,25,4,3,178,7.1,10d,🌦️,Pluie intermittente
FR000020,Cassis,43.2140359,5.5396318,2025-07-13,25,5,3,156,8.0,02d,🌤️,Peu nuageux
FR000020,Cassis,43.2140359,5.5396318,2025-07-14,28,6,4,288,8.0,02d,🌤️,Peu nuageux
FR000020,Cassis,43.2140359,5.5396318,2025-07-15,34,13,6,317,8.0,01d,☀️,Ciel dégagé
FR000021,Marseille,43.2961743,5.3699525,2025-07-08,28,16,7,322,8.61,01d,☀️,Ciel dégagé
FR000021,Marseille,43.2961743,5.3699525,2025-07-09,26,13,6,328,9.08,01d,☀️,Ciel dégagé
FR000021,Marseille,43.2961743,5.3699525,2025-07-10,26,6,4,168,8.76,01d,☀️,Ciel dégagé
FR000021,Marseille,43.2961743,5.3699525,2025-07-11,25,5,3,170,8.96,01d,☀️,Ciel dégagé
FR000021,Marseille,43.2961743,5.3699525,2025-07-12,26,5,3,179,6.47,10d,🌦️,Pluie intermittente
FR000021,Marseille,43.2961743,5.3699525,2025-07-13,26,5,3,156,7.0,01d,☀️,Ciel dégagé
FR000021,Marseille,43.2961743,5.3699525,2025-07-14,29,7,4,289,7.0,01d,☀️,Ciel dégagé
FR000021,Marseille,43.2961743,5.3699525,2025-07-15,35,13,6,324,7.0,01d,☀️,Ciel dégagé
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-08,27,13,6,325,8.42,02d,🌤️,Peu nuageux
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-09,29,9,5,328,8.98,01d,☀️,Ciel dégagé
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-10,31,6,4,220,8.68,01d,☀️,Ciel dégagé
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-11,30,6,4,219,8.87,01d,☀️,Ciel dégagé
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-12,30,5,3,216,7.8,10d,🌦️,Pluie intermittente
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-13,30,5,3,210,8.0,01d,☀️,Ciel dégagé
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-14,34,5,3,265,8.0,01d,☀️,Ciel dégagé
FR000022,Aix en Provence,43.5298424,5.4474738,2025-07-15,37,11,6,334,8.0,01d,☀️,Ciel dégagé
FR000023,Avignon,43.9492493,4.8059012,2025-07-08,28,12,6,8,8.51,03d,⛅,Nuages épars
FR000023,Avignon,43.9492493,4.8059012,2025-07-09,31,10,5,355,9.02,01d,☀️,Ciel dégagé
FR000023,Avignon,43.9492493,4.8059012,2025-07-10,33,8,5,349,8.74,01d,☀️,Ciel dégagé
FR000023,Avignon,43.9492493,4.8059012,2025-07-11,34,6,4,187,8.87,01d,☀️,Ciel dégagé
FR000023,Avignon,43.9492493,4.8059012,2025-07-12,34,7,4,200,6.71,10d,🌦️,Pluie intermittente
FR000023,Avignon,43.9492493,4.8059012,2025-07-13,33,6,4,200,7.0,02d,🌤️,Peu nuageux
